artist,title,label,catno,format,price,media_condition,sleeve_condition,weight,place
"Alex Cline, Kaoru (4), Miya Masaoka, G.E. Stinson",Cloud Plate,Cryptogramophone,CG121,"CD, Album",10.0,Near Mint (NM or M-),Very Good Plus (VG+),85,Box2/boutique
AM 4,... And She Answered:,"ECM Records, ECM Records","ECM 1394, 839 620-2","CD, Album",9.0,Mint (M),Near Mint (NM or M-),85,Box2/boutique
Annie Gosfield,Burnt Ivory And Loose Wires,Tzadik,TZ 7040,"CD, Album",13.0,Mint (M),Near Mint (NM or M-),85,Box3
Barre Phillips Avec Emilie Lesbros,No Man's Zone,Cinénato,ZOG 5,"CD, Album",20.0,Mint (M),Near Mint (NM or M-),85,Box2/boutique
Barry Guy / London Jazz Composers Orchestra,Portraits,Intakt Records,Intakt CD 035,"2xCD, Album",18.0,Mint (M),Near Mint (NM or M-),170,Box3/boutique
Barry Guy New Orchestra,Oort-Entropy,Intakt Records,Intakt CD 101,"CD, Album",15.0,Mint (M),Mint (M),85,Box2/boutique
The Beach Boys,Ballad Of An Old Car,Capitol Records,EAP 1-20576,"7"", EP, Mono",60.0,Very Good (VG),Very Good Plus (VG+),60,
Camel Zekri,Le Cercle,La Nuit Transfigurée,LNT 340122,CD,6.0,Very Good (VG),Near Mint (NM or M-),85,Box2/boutique
Cannibales & Vahinés,Songs For A Free Body ,Mr Morezon,Mr Morezon 012,"CD, Album",11.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box3
Daunik Lazro · Jean-Luc Cappozzo · Didier Lasserre,Garden(s),Ayler Records,AYLCD-150,"CD, Album",10.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box3
Didier Petit,NOHC On The Road,Leo Lab,LEO LAB CD 065,"CD, Album",13.0,Mint (M),Near Mint (NM or M-),85,Box3/boutique
The Dirty Dozen Brass Band,My Feet Can't Fail Me Now,Concord Jazz,CCD 43005,"CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,Box2/boutique
Eddie Harris & Les McCann,Second Movement,"Atlantic, Rhino Records (2)",8122 73710 2,"CD, Album, RE, RM",14.0,Mint (M),Near Mint (NM or M-),85,Box3/boutique
Edward Perraud,Synaesthetic Trip,Quark Records (2),QR0201016,"CD, Album",10.0,Near Mint (NM or M-),Very Good (VG),85,Box2/boutique
Edward Vesala,Ode To The Death Of Jazz,"ECM Records, ECM Records","ECM 1413, 843 196-2","CD, Album",15.0,Mint (M),Very Good Plus (VG+),85,
The Electrics (2),Chain Of Accidents,Ayler Records,aylCD-035,"CD, Album",6.0,Mint (M),Near Mint (NM or M-),85,Box3
Eugene Chadbourne,Volume Two: Solo Acoustic Guitar,Rastascan Records,BRD 032,"CD, Album, RE",10.0,Mint (M),Mint (M),85,Box1/Boutique
Evan Parker / Barry Guy,Birds And Blades,"Intakt Records, Intakt Records","Intakt Double CD 080, Intakt Double CD 080 / 2003","2xCD, Album",18.0,Mint (M),Near Mint (NM or M-),170,Box2/boutique
The Ex & Guests,Instant,"Ex Records, Ex Records","EX 063D / EX 064D, ex 063d / ex 064d","2xCD, Album, DAD",8.0,Mint (M),Very Good Plus (VG+),170,Box2/boutique
Faust,Ravvivando,Klangbad,frav 199,"CD, Album",11.0,Mint (M),Near Mint (NM or M-),85,Box2/boutique
Fernandez / Guy / López,Aurora,"Maya Recordings, Maya Recordings","MCD0601, MCD 0601","CD, Album",12.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box3/boutique
Fred Van Hove,Journey,psi (3),psi 08.03,"CD, Album",10.0,Very Good Plus (VG+),Near Mint (NM or M-),85,Box3
Gianluigi Trovesi / Gianni Coscia,Round About Weill,"ECM Records, ECM Records","ECM 1907, 982 4131","CD, Album",8.0,Mint (M),Near Mint (NM or M-),85,
Gianluigi Trovesi All'opera,Profumo Di Violetta,"ECM Records, ECM Records","ECM 2068, 177 3124","CD, Album",12.0,Mint (M),Near Mint (NM or M-),85,Box3
Gianni Gebbia,Body Limits,Splasc(h) Records,CD H 462.2,"CD, Album",10.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box3
Gianni Gebbia,Postille Nel Tempo 1989-1996,MRF,005/3,CD,8.0,Mint (M),Near Mint (NM or M-),85,Box3
Gus Viseur,Les As Du Musette: Gus Viseur A Bruxelles,"Paris Jazz Corner Productions, Universal Music Jazz France, Universal Music France",984 402 8,"CD, Album, Ltd",10.0,Mint (M),Mint (M),85,BOX2
Henri Texier,"""Izlaz"" / ""Colonel Skopje""",Label Bleu,LBLC 6588/89 HM CD 53X2,"2xCD, RE",19.0,Mint (M),Near Mint (NM or M-),170,Box3
Henri Texier,"""Mad Nomad(s)""",Label Bleu,LBLC 6568,"CD, Album",9.0,Mint (M),Near Mint (NM or M-),85,
"Igor Stravinsky, Pierre Boulez",Stravinsky : Ballets - Boulez,CBS Masterworks,79318,"3xLP + Box, Comp",17.0,Near Mint (NM or M-),Very Good Plus (VG+),920,
John Coltrane,Transition,"GRP, Impulse!","GRP11242, GRP 11242","CD, Album, RE, RM",20.0,Mint (M),Near Mint (NM or M-),85,Box3
John Hicks,John Hicks,Evidence (5),ECD 22224-2,"HDCD, Album, RE, RM",11.0,Mint (M),Near Mint (NM or M-),85,box3
John Lurie,Stranger Than Paradise And The Resurrection Of Albert Ayler (Music From The Original Scores) ,Strange & Beautiful Music,SBMCD010,"CD, Album, RE",9.0,Very Good Plus (VG+),Very Good Plus (VG+),85,Box3
John Zorn - Uri Caine,Moloch (Book Of Angels Volume 6),Tzadik,TZ 7360,"CD, Album",23.0,Mint (M),Near Mint (NM or M-),85,
Jon Rose,://shopping.live@victo.,ReR Megacorp,ReR JR4,"CD, Album",5.0,Mint (M),Near Mint (NM or M-),85,Box2/boutique
Jon Rose,Techno Mit Störungen,Plag Dich Nicht,2,"CD, Album",10.0,Mint (M),Very Good Plus (VG+),85,Box2/boutique
Kaze (4),Uminari,Circum-Libra Records,203,"CD, Album",10.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box2/boutique
Keith Jarrett Trio = Keith Jarrett Trio,Somewhere Before = サムホエア・ビフォー,Vortex Records (2),P-7529A,"LP, Album, RE",25.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Kletka Red,Hijacking,Tzadik,TZ 7111,"CD, Album",9.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box2/boutique
Le Quintette Popolien,Mes Dix Doigts Dans Ton Nez,Plainisphare, PL 1267-42 CD,"CD, Album",8.0,Mint (M),Very Good Plus (VG+),85,Box3
Les Reines Prochaines,Le Coeur En Beurre (Doublegras),RecRec Music,ReCDec 72,"CD, Album",11.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box3
Luc Ferrari,Cellule 75,Tzadik,TZ 7033,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,Box2/boutique
Masada (3),50⁷,Tzadik,TZ 5007,"CD, Album",13.0,Mint (M),Near Mint (NM or M-),85,
Massacre (2),Funny Valentine,Tzadik,TZ 7601,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,Box2/boutique
Matthew Shipp Trio,The Multiplication Table,hatOLOGY,hatOLOGY 656,"CD, Album, RE",15.0,Mint (M),Near Mint (NM or M-),85,Box3
Michael Formanek,Nature Of The Beast,Enja Records,ENJ-9308 2,"CD, Album",14.0,Mint (M),Near Mint (NM or M-),85,Box3
Michel Portal,Men's Land,Label Bleu,LBLC 6513,"CD, Album",7.0,Mint (M),Near Mint (NM or M-),85,Box3
Mike Westbrook Trio,Love For Sale,hat ART,hat ART CD 6061,"CD, Album",16.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box3
Nels Cline,Coward,Cryptogramophone,CG141,"CD, Album",9.0,Mint (M),Near Mint (NM or M-),85,Box1/Boutique
Pachora,Unn,Knitting Factory Works,KFR-230,CD,5.0,Mint (M),Very Good Plus (VG+),85,Box3/boutique
Palinckx,Border (Live In Zürich),Intakt Records,Intakt CD 043,"CD, Album",12.0,Mint (M),Very Good Plus (VG+),85,Box1/Boutique
Peter Brötzmann Sextet / Peter Brötzmann Quartet,More Nipples,Atavistic,UMS/ALP236CD,"CD, Album",16.0,Mint (M),Near Mint (NM or M-),85,Box2/boutique
Philipp Wachsmann / Paul Lytton,Some Other Season,"ECM Records, ECM Records","ECM 1662, 557 336-2","CD, Album",8.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box2/boutique
Pierre Dørge & New Jungle Orchestra,Ubi Zaa,SteepleChase,SCCD 31819,"CD, Album",10.0,Near Mint (NM or M-),Very Good Plus (VG+),85,Box2/boutique
Pierre Favre Ensemble,Le Voyage,"Intakt Records, Intakt Records","Intakt CD 186, Intakt CD 186/2011","CD, Album",10.0,Mint (M),Mint (M),85,Box2/boutique
The Remote Viewers,Stranded Depots,Leo Lab,LEO LAB CD 076,"CD, Album",8.0,Mint (M),Near Mint (NM or M-),85,Box2/boutique
Rodney Kendrick,The Colors Of Rhythm,"Impulse!, Universal Music France",602537924356,"CD, Album",8.0,Mint (M),Near Mint (NM or M-),85,Box3
Rudi Mahall,Quartett,Jazzwerkstatt,jw019,"CD, Album",12.0,Mint (M),Near Mint (NM or M-),85,Box3/boutique
Sébastien Capazza / Didier Lasserre / Nicolas Talbot / Félix Baray,Gravitation,Amor Fati,Fatum 002,"CD, Album, Ltd",10.0,Mint (M),Near Mint (NM or M-),85,Box3/boutique
Slawterhaus,Live,Les Disques Victo,VICTO CD 013,"CD, Album",8.0,Mint (M),Very Good Plus (VG+),85,Box2/boutique
Slawterhaus,Monumental,Intakt Records,Intakt CD 030,CD,10.0,Mint (M),Near Mint (NM or M-),85,Box2/boutique
Terje Isungset,Reise,NORCD,NORCD 9724,"CD, Album, Dig",12.0,Very Good Plus (VG+),Very Good Plus (VG+),85,box2/boutique
Terje Rypdal,Lux Aeterna,"ECM Records, ECM Records","ECM 1818, 017 070-2","CD, Album",11.0,Mint (M),Very Good Plus (VG+),85,Box2/boutique
The Thing (2) w/ Joe McPhee,She Knows...,"Crazy Wisdom, Universal Music AB","CW 006, 014 756-2","CD, Album",32.0,Mint (M),Near Mint (NM or M-),85,Box2/boutique
"Thurston Moore, Tom Surgal, William Winant",Piece For Jetsun Dolma,Les Disques Victo,VICTO CD 045,CD,7.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box2/boutique
Tomasz Stańko,From The Green Hill,"ECM Records, ECM Records","ECM 1680, 547 336-2","CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,Box2/boutique
Various,Reservoir Dogs (Original Motion Picture Soundtrack),Geffen Records,602537144136,"LP, Comp, RE, Bro",30.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Vienna Art Orchestra,American Rhapsody * A Tribute To George Gershwin,RCA Victor,09026-63227-2 5,"CD, Album",16.0,Mint (M),Very Good Plus (VG+),85,Box3
Wadada Leo Smith's Golden Quartet,Golden Quartet,Tzadik,TZ 7604,"CD, Album",20.0,Mint (M),Mint (M),85,Box2/boutique
Yves Robert,In Touch,"ECM Records, ECM Records","ECM 1787, 016 375-2","CD, Album",8.0,Mint (M),Near Mint (NM or M-),85,Box2/boutique
Zentralquartett,Careless Love,"Intakt Records, Intakt Records","Intakt CD 050, Intakt CD 050 / 1998","CD, Album",15.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box3
Aki Takase,Shima Shoka,Enja Records,CD 6062-2,"CD, Album",8.0,Near Mint (NM or M-),Very Good Plus (VG+),85,Box7
Albert Ayler,Live In Greenwich Village (The Complete Impulse Recordings),Impulse!,IMP 22732,"2xCD, Comp, RM",15.0,Mint (M),Near Mint (NM or M-),170,box4
Angélique Ionatos,Le Monogramme,Auvidis Tempo,A 6133,"CD, Album",11.0,Mint (M),Near Mint (NM or M-),85,Box7
Barry Guy,The Blue Shroud,Intakt Records,Intakt CD 266,"CD, Album",14.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box5
Barry Guy & London Jazz Composers Orchestra,Double Trouble,"Intakt Records, Intakt Records","Intakt CD 019, Intakt CD 019/1990","CD, Album",12.0,Mint (M),Very Good Plus (VG+),85,Box7
Barry Guy & London Jazz Composers Orchestra,Harmos,Intakt Records,Intakt CD 013,"CD, Album",16.0,Mint (M),Very Good Plus (VG+),85,Box7
Brötzmann / Van Hove / Bennink,FMP 130,Atavistic,UMS/ALP244CD,"CD, Album, RE",15.0,Mint (M),Near Mint (NM or M-),85,box4
Butch Morris,"Verona - Conduction® No. 43, The Cloth (1994) / Conduction® No. 46, Verona Skyscraper® (1995)",Nu Bop Records,CD 09,"2xCD, Album",15.0,Mint (M),Very Good Plus (VG+),170,Box3
Chris McGregor's Brotherhood Of Breath,Travelling Somewhere,Cuneiform Records,Rune 152,"CD, Album",14.0,Mint (M),Near Mint (NM or M-),85,Box7
"Claude Barthélémy, Manuel Denizet, Jean-Luc Ponthieux",Solide,Evidence (4),EVCD 316,"CD, Album",9.0,Mint (M),Near Mint (NM or M-),85,Box7
"Claudio Monteverdi - Monteverdi-Chor Hamburg, Jürgen Jürgens, Concentus Musicus Wien",Vespro Della Beata Vergine ,TELDEC,4509-92175-2,"2xCD, Album + Box",16.0,Mint (M),Near Mint (NM or M-),400,
"Claudio Monteverdi –  La Capella Reial De Catalunya, Montserrat Figueras, Guy De Mey, Maria Cristina Kiehr, Livio Picotti, Gerd Türk, Gian Paolo Fagotto, Paolo Costa (2), Pietro Spagnoli, Daniele Carnovich, Coro Del Centro Di Musica Antica Di Padova, Jord",Vespro Della Beata Vergine 1610,Astrée Auvidis,E 8719,"2xCD, Album",18.0,Mint (M),Very Good Plus (VG+),170,
Cuong Vu,Come Play With Me,"Knitting Factory Records, Knitting Factory Records","KFW 298, KFW-298","CD, Album",7.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box5
"Daunik Lazro, Michel Doneda & Lê Quan Ninh",26 Janvier 1988 Vandœuvre-Les-Nancy,"Adda, In Situ, Basta (7)",590037,"CD, Album",8.0,Mint (M),Near Mint (NM or M-),85,Box7
Dora Lou,Répertoire Demi-Mondain,"Adda, Gorgone Productions","590 065, GP0391","CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,Box7
Edward Vesala,Ode To The Death Of Jazz,"ECM Records, ECM Records","ECM 1413, 843 196-2","CD, Album",15.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box5
Edward Vesala Sound & Fury,Invisible Storm,"ECM Records, ECM Records","ECM 1461, 511 928-2","CD, Album",12.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box5
Edward Vesala Sound & Fury,Nordic Gallery,"ECM Records, ECM Records","ECM 1541, 523 294-2","CD, Album",10.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box5
Erik Marchand & Taraf De Caransebeș,Dor,"LW (La World), RCA Victor, BMG Classics",74321 58879 2,"CD, Album",9.0,Mint (M),Near Mint (NM or M-),85,Box3
Ernst Reijseger with Mola Sylla and Serigne Gueye,Janna,Winter & Winter,910 094-2,"CD, Album",15.0,Mint (M),Mint (M),85,box7
The Fish (2),Live At Olympic Café & Jazz À Mulhouse,Ayler Records,aylCD-008/057,"2xCD, Album",12.0,Mint (M),Near Mint (NM or M-),170,box4
Food,Veggie,Rune Grammofon,RCD 2027,"CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,Box7
"François Couperin - Il Seminario Musicale, Gérard Lesne",Leçons De Ténèbres,Harmonic Records,H/CD 9140,"CD, Album",13.0,Mint (M),Near Mint (NM or M-),85,classique/Box3
Gérard Marais - Raymond Boni,La Belle Vie,Label Hopi,HOP 200028,"CD, Album",14.0,Mint (M),Near Mint (NM or M-),85,Box7
"Giacomo Puccini / Maria Callas, Giuseppe di Stefano, Tito Gobbi, Orchestra Del Teatro Alla Scala E Coro Del Teatro Alla Scala, Victor De Sabata",Tosca,"EMI Classics, EMI Classics","CDS 7 47175 8, 7 47175 8","2xCD, Album, Mono, RP + Box, Sli",9.0,Near Mint (NM or M-),Very Good Plus (VG+),400,
Globe Unity Orchestra,Globe Unity 2002,Intakt Records,Intakt CD 086,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,Box5
Gustav Mahler / Radio-Sinfonie-Orchester Frankfurt / Eliahu Inbal,Symphony No. 5,Denon,33CO-1088,"CD, Album",6.0,Mint (M),Near Mint (NM or M-),85,Box7
Guy Klucevsek And The Bantam Orchestra,"Citrus, My Love",RecRec Music,ReCDec 54,"CD, Album",20.0,Mint (M),Mint (M),85,
Hamid Drake & Assif Tsahar,"Live At Glenn Miller Cafè, Soul Bodies, Vol. 2",Ayler Records,aylCD-025,"CD, Album",14.0,Mint (M),Near Mint (NM or M-),85,Box3
"Hamid Drake & Bindu, Hamid Drake, Ernest ""Khabeer"" Dawkins, Daniel Carter, Sabir Mateen, Greg Ward (2), Nicole Mitchell",Bindu,Rogueart,ROG-0001,"CD, Album",11.0,Mint (M),Near Mint (NM or M-),85,Box5
Henry Purcell – Hespèrion XX,Fantasias For The Viols 1680,Astrée Auvidis,E 8536,"CD, Album",7.0,Mint (M),Near Mint (NM or M-),85,Box5/ Classique
Jacques Demierre - Barry Guy - Lucas Niggli,Brainforest,Intakt Records,Intakt CD 107,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,Box3
Jan Garbarek / The Hilliard Ensemble,Officium,"ECM New Series, ECM New Series, ECM New Series","ECM 1525, 445 369-2, ECM New Series 1525","CD, Album, Sli",8.0,Mint (M),Near Mint (NM or M-),85,Box5
"Jim Black, Alasnoaxis",Alasnoaxis,Winter & Winter,910 061-2,"CD, Album",10.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box7
John Zorn,Filmworks VI 1996,Tzadik,TZ 7308,"CD, Album",10.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box3/Zorn
Larry Ochs Sax & Drumming Core,The Neon Truth,Black Saint,120217-2,"CD, Album",6.0,Mint (M),Near Mint (NM or M-),85,Box5
Last Exit,Köln,Atavistic,ALP252CD,"CD, Album, RE",15.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box7
Lê Quan Ninh,Ustensiles,For 4 Ears,CD 822,"CD, Album",7.0,Very Good Plus (VG+),Near Mint (NM or M-),85,Box5
Leo Cuypers,Zeeland Suite & Johnny Rep Suite,BV HAAST Records,CD 9307,"CD, Comp",15.0,Mint (M),Near Mint (NM or M-),85,Box5
Louis Sclavis,Danses Et Autres Scènes,Label Bleu,LBLC 6616,"HDCD, Album",12.0,Mint (M),Near Mint (NM or M-),85,box4
Marc Ribot,Shrek,Avant,Avan 033,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,Box3
Massacre (2),Lonely Heart,Tzadik,TZ 7619,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,Box7
"Max Nagl, Steven Bernstein, Noël Akchoté, Brad Jones",Big Four,hatOLOGY,hatOLOGY 585,"CD, Album",7.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box3
Maya Homburger / Barry Guy,Ceremony,"ECM New Series, ECM New Series, ECM New Series","ECM 1643, 1643, 453 847-2","CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,Box7
"Michel Doneda, Jean Pallandre",Eclipses,Ouïe-Dire Production,Poil 7792,CD,10.0,Mint (M),Near Mint (NM or M-),85,Box7
Ne Zhdali,"Whatever Happens, Twist!",No Man's Land,NML 0530,"CD, Album, RE",5.0,Mint (M),Near Mint (NM or M-),85,Box7
Palinckx,Momentum & Wag,Vonk,Vonk 8,"CD, Album",9.0,Mint (M),Near Mint (NM or M-),85,Box7
Philippe Deschepper,Attention Escalier - Guitare Solo,émouvance,émv 1004,"CD, Album",10.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box7
Raoul Björkenheim & Krakatau,Ritual,Cuneiform Records,Rune 86,"CD, Album, RE",10.0,Mint (M),Near Mint (NM or M-),85,Box7
"Reinette L'Oranaise , Accompagnée Au Piano Par Mustapha Skandrani",Trésors De La Musique Arabo-Andalouse ,Michel Levy Productions,MLPCD 1302,"CD, Album",15.0,Mint (M),Very Good Plus (VG+),85,
Richard Strauss / Dietrich Fischer-Dieskau • Wolfgang Sawallisch,"Lieder / Morgen • Traum Durch Die Dämmerung • Ruhe, Meine Seele",Deutsche Grammophon,415 470-1,CD,8.0,Mint (M),Near Mint (NM or M-),85,
The Rolling Stones,December's Children (And Everybody's),"ABKCO, ABKCO","74511, PS 451","LP, Album, RE, RM",28.0,Very Good Plus (VG+),Very Good (VG),230,
The Rolling Stones,Metamorphosis,Decca,340059,"LP, Comp, RE",15.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
The Rolling Stones,Out Of Our Heads,"ABKCO, London Records","74291, PS 429","LP, Album, RE",25.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Roof,The Untraceable Cigar,"Red Note, Manifatture Criminali","Red Note 4, BOB101","CD, Album",25.0,Mint (M),Near Mint (NM or M-),85,box7
Roof,Trace,Red Note,cat n⁰7,"CD, Album",14.0,Mint (M),Very Good Plus (VG+),85,Box7
Rova Saxophone Quartet,Long On Logic,Sound Aspects Records,SAS CD 037,"CD, Album",27.0,Mint (M),Near Mint (NM or M-),85,Box7
Ruf Der Heimat,Machine Kaput,Konnex Records,KCD 5070,"CD, Album",22.0,Mint (M),Near Mint (NM or M-),85,Box7
Saadet Türköz,Kara Toprak = The Dark Land (Oriental Ways: From Turkestan To Istanbul),Amori,AM005,"CD, Album",20.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box7
Sakis Papadimitriou,Piano Cellules,"In Situ, Adda","IS 010, ADDA 590010","CD, Album",14.0,Mint (M),Mint (M),85,Box7
Soft Machine,Backwards,"Cuneiform Records, Cuneiform Records","rune 170, Rune 170","CD, Album",12.0,Mint (M),Near Mint (NM or M-),85,Box7
Spaceways Incorporated,Version Soul,Atavistic,ALP132CD,"CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,Box7
"Steve Lacy, Ulrich Gumpert",Deadline,Sound Aspects Records,SAS CD 013,"CD, Album",20.0,Mint (M),Mint (M),85,Box7
Stu Martin Trio,Sunrise,EPM,152192 (MARGE 13),"CD, Album",14.0,Mint (M),Near Mint (NM or M-),85,Box3
Tomasz Stańko,From The Green Hill,"ECM Records, ECM Records","ECM 1680, 547 336-2","CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,Box2
Trio Chemirani,Tchechmeh,émouvance,émv 1019,"CD, Album",18.0,Mint (M),Near Mint (NM or M-),85,Box7
Various,FMP Story,Musica Jazz,FMP MJ 01,"CD, Comp",10.0,Mint (M),Near Mint (NM or M-),85,Box7
"Vincenzo Bellini / Joan Sutherland, Marilyn Horne, John Alexander (7), Richard Cross, The London Symphony Orchestra, Richard Bonynge",Norma,Decca,425 488-2,"3xCD, Album, RE, RM + Box",14.0,Mint (M),Very Good Plus (VG+),485,
Xavier Garcia / Gianni Gebbia / Nils Wogram,Pronto!,Intakt Records,Intakt CD 076,"CD, Album",12.0,Mint (M),Near Mint (NM or M-),85,Box5
Yves Dormoy,For A Long Time I Used To Hate Cities,Signature (9),SIG 11018,"CD, Album",8.0,Near Mint (NM or M-),Near Mint (NM or M-),85,Box7
Zoor,Volumes A + B,Umlaut Records,umfr-cd08,"CD, Album",8.0,Mint (M),Very Good Plus (VG+),85,Box5
Abdel Aziz El Mubarak,Straight From The Heart,World Circuit,WCD010,"CD, Album",7.0,Mint (M),Very Good Plus (VG+),85,
Arcana (4),The Last Wave,DIW,DIW-903,"CD, Album",35.0,Mint (M),Near Mint (NM or M-),85,box6/boutique
Atrium Musicae De Madrid Dir. Gregorio Paniagua,Musique Arabo-Andalouse,Harmonia Mundi,HMC 90389,"CD, Album, RE",6.0,Mint (M),Very Good Plus (VG+),85,classique
Baroque Bordello,Via,Garage,GAR 003,"LP, Album, RE",18.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Barry Guy,Portrait,Intakt Records,Intakt CD 123,"CD, Comp",15.0,Mint (M),Mint (M),85,box6
Barry Guy / Marilyn Crispell / Paul Lytton,Odyssey,Intakt Records,Intakt CD 070,"CD, Album",19.0,Mint (M),Near Mint (NM or M-),85,box4
Bernard Lenoir,Best Of Peel Sessions,"Strange Fruit, Fnac Music",FC 1,"LP, Comp",15.0,Very Good (VG),Very Good Plus (VG+),230,
Boban Marković Orkestar,Live In Belgrade,Piranha,CD-PIR 1685,"CD, Album",6.0,Mint (M),Near Mint (NM or M-),85,box6
Brötzmann / Van Hove / Bennink,Balls,Atavistic,UMS/ALP233CD,"CD, Album, RE",20.0,Mint (M),Mint (M),85,box4
Carla Bley,4X4,"WATT (2), ECM Records","WATT/30, 159 547-2","CD, Album",11.0,Mint (M),Near Mint (NM or M-),85,box4
Cassiber,Beauty And The Beast,ReR Megacorp,ReR CCD3,"CD, Album, RE",10.0,Mint (M),Near Mint (NM or M-),85,box4
Christian Wallumrød Ensemble,A Year From Easter,"ECM Records, ECM Records","ECM 1901, 982 4132","CD, Album",10.0,Mint (M),Mint (M),85,box6/boutique
Clusone 3,Clusone 3,Ramboy Recordings,Ramboy Disc # 01,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,box6/boutique
Daunik Lazro,Some Other Zongs,Ayler Records,aylCD-123,"CD, Album",8.0,Mint (M),Mint (M),85,box4
Daunik Lazro / Joe McPhee,"Élan, Impulse","Adda, In Situ","590075, IS 075","CD, Album",15.0,Mint (M),Very Good Plus (VG+),85,box6/boutique
Daunik Lazro / Joëlle Léandre,Hasparren,NoBusiness Records,NBCD 62,"CD, Album",12.0,Mint (M),Near Mint (NM or M-),85,box4
Deep Purple,Love Conquers All,"RCA, BMG",PT 49224,"7"", Shape, Single, Ltd, Pic",25.0,Very Good (VG),Very Good Plus (VG+),60,
Dragon Blue,Hades Park,Avant,Avan 075,"CD, Album",13.0,Mint (M),Near Mint (NM or M-),85,box6
"Eleni Karaindrou, Kim Kashkashian",Ulysses' Gaze,"ECM Records, ECM Records, ECM New Series, ECM New Series","ECM 1570, 449 153-2, ECM New Series 1570","CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,
Equidad Barès,Mes Espagnes,Silex,Y225049,"CD, Album",18.0,Mint (M),Near Mint (NM or M-),85,box6
The Ex + Tom Cora,And The Weathermen Shrug Their Shoulders,"RecRec Music, Ex Records","ReCDec 55, EX 057D","CD, Album",8.0,Mint (M),Very Good Plus (VG+),85,box6/boutique
Fred Frith,Clearing,Tzadik,TZ7605,"CD, Album",10.0,Near Mint (NM or M-),Near Mint (NM or M-),85,box6
Gaguik Mouradian - Claude Tchamitchian,Le Monde Est Une Fenêtre,émouvance,émv 1018,"CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,box4
"Gustav Mahler, Kathleen Ferrier, Julius Patzak, Wiener Philharmoniker, Bruno Walter",Das Lied Von Der Erde / Three Rückert Lieder,Naxos Historical,8.110871,CD,9.0,Mint (M),Near Mint (NM or M-),85,classique
Hilmar Jensson,Tyft,Songlines Recordings,SGL 1542-2,"CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,box6/boutique
Hubert Félix Thiéfaine,...Tout Corps Vivant Branché Sur Le Secteur Étant Appelé À S'émouvoir...,"Sterne, Sterne","STE 2 - 26503, STE 26 503","LP, Album, RE",15.0,Very Good Plus (VG+),Good Plus (G+),230,
Hubert Félix Thiéfaine,"De L'amour, De L'art Ou Du Cochon?",Sterne,STE 26509,"LP, Album",14.0,Very Good Plus (VG+),Very Good (VG),230,
Jacques Thollot,Tenga Niña,Nato,777701,"CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,box6
Jane,Here We Are,"Brain, Brain, Metronome","brain 1032, 1032","LP, Album",20.0,Very Good Plus (VG+),Good Plus (G+),230,
Jane,III,"Brain, Brain","1048, 0001.048","LP, Album, RE, NO ",18.0,Very Good Plus (VG+),Good Plus (G+),230,
