artist,title,label,catno,format,price,media_condition,sleeve_condition,weight,place
"Bedřich Smetana, Josef Suk (2), Luboš Fišer, Guarneri Trio Prague",Czech Piano Trios,Praga Digitals,PRD / DSD 250 218,"SACD, Hybrid, Multichannel",8.0,Mint (M),Near Mint (NM or M-),85,
Charlie Haden And Kenny Barron,Night And The City,Verve Records,539 961-2,"CD, Album, Dig",6.0,Mint (M),Very Good Plus (VG+),85,
Charlie Haden Quartet West,The Art Of The Song,"Verve Records, Universal",547 403-2,"CD, Album, Dig",8.0,Mint (M),Near Mint (NM or M-),85,
Charlie Haden With Don Cherry And Ed Blackwell,The Montreal Tapes,Verve Records,523 260-2,"CD, Album",19.0,Mint (M),Mint (M),85,
Danny Gatton And Tom Principato,Blazing Telecasters,Powerhouse Records (3),POW-4036,"CD, Album",15.0,Mint (M),Mint (M),85,
Daunik Lazro / Jean Bolcato / Christian Rollet,A.H.O And His Orchestra,Bleu Regard,CT 1955,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,
Daunik Lazro Quintet,Dourou,Bleu Regard,CT 1954,"CD, Album",18.0,Mint (M),Near Mint (NM or M-),85,
David Linx / Diederik Wissels / Paolo Fresu,Heartland,"EmArcy, Universal Music Jazz France, Universal",016 416-2,"CD, Album",8.0,Mint (M),Very Good (VG),85,
Domenico Scarlatti –  Pierre Hantaï,Sonates 1,Mirare,MIR 9918,CD,5.0,Mint (M),Very Good Plus (VG+),85,
Domenico Scarlatti –  Pierre Hantaï,Sonates 2,Mirare,MIR 9920,CD,15.0,Mint (M),Near Mint (NM or M-),85,
Don Carlos (2),Inna Dub Style (Rare Dubs 1979-1980),Jamaican Recordings,JRLP017,"LP, Comp",15.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Duke Ellington And His Orchestra,Anatomy Of A Murder (Soundtrack),"Columbia, Legacy",CK 65569,"CD, Album, RE",6.0,Mint (M),Very Good Plus (VG+),85,
Duke Ellington And His Orchestra,Masterpieces By Ellington,"Columbia, Legacy","COL 512918 2, 512918 2","CD, RE",6.0,Mint (M),Very Good Plus (VG+),85,
Eric Legnini Trio,Miss Soul,Label Bleu,LBLC 6686,"CD, Album",8.0,Mint (M),Very Good Plus (VG+),85,
Filomena Moretti - Johann Sebastian Bach,"Partita En Mi Majeur, Pour Luth BWV 1006a - Suite En Sol Mineur, Pour Luth BWV 995 - Suite En Mi Mineur, Pour Luth BWV 996",Transart Live,TR 133,"CD, Album",7.0,Mint (M),Near Mint (NM or M-),85,
"Gary Cooper (2), Rachel Podger, Wolfgang Amadeus Mozart",Complete Sonatas For Keyboard And Violin,Channel Classics,CCS SA 21804,"SACD, Hybrid, Multichannel",20.0,Mint (M),Near Mint (NM or M-),85,
Gerry Mulligan Quartet,Reunion With Chet Baker,EMI-Manhattan Records,CDP 7 46857 2,"CD, Album, Mono, RE",7.0,Mint (M),Near Mint (NM or M-),85,
Giovanna Marini,Oresteia,Igloo,IGL 131,"CD, Album",6.0,Mint (M),Very Good Plus (VG+),85,
Hosea Leavy,You Gotta Move,Fedora,FCD 5002,"CD, Album",8.0,Mint (M),Near Mint (NM or M-),85,
Ike & Tina Turner,Funkier Than A Mosquito's Tweeter,Stateside,7243 5 37960 2 0,"CD, Comp",12.0,Mint (M),Very Good Plus (VG+),85,
Jacky Terrasson,What It Is,Blue Note,7243 4 98756 2 3,"CD, Album",5.0,Mint (M),Near Mint (NM or M-),85,
Jah Stitch,Dread Inna Jamdown,Kingston Sounds,KSLP012,LP,15.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
Jan Garbarek,In Praise Of Dreams,"ECM Records, ECM Records","ECM 1880, 981 1068","CD, Album, O-c",6.0,Mint (M),Near Mint (NM or M-),85,
Jeff Beck,Blow By Blow,"Epic, Epic, Epic","502181 2, EPC 502181 2, 5021812000","CD, Album, RE, RM",8.0,Near Mint (NM or M-),Very Good Plus (VG+),85,
Jethro Tull,Living In The Past ,Chrysalis,CDP 32 1575-2,"CD, Album, Comp, RE, RM",10.0,Mint (M),Near Mint (NM or M-),85,
Jimi Hendrix,Band Of Gypsys,Capitol Records,CDP 0777 7 96414 2 0,"CD, Album, RE, RM",10.0,Mint (M),Very Good Plus (VG+),85,
Jimi Hendrix,Live Isle Of Wight '70,Polydor,847 236-2,"CD, Album",7.0,Mint (M),Very Good Plus (VG+),85,
Jimi Hendrix,The Complete PPX Studio Recordings,SPV Recordings,SPV 088-29802,"6xCD, Comp, RM + Box",15.0,Near Mint (NM or M-),Very Good Plus (VG+),510,
"Johann Sebastian Bach, Janos Starker, György Sebök",Suites For Solo Cello (Complete). Sonatas In G & D Major For Cello And Piano,"Mercury, Mercury Living Presence",470 644-2,"2xSACD, Hybrid, Comp",60.0,Mint (M),Near Mint (NM or M-),170,
John Coltrane,And The Jazz Giants,"Carrere, Prestige",98.451,"CD, Comp, RM",10.0,Mint (M),Very Good Plus (VG+),85,
John Coltrane,La Ballade De John Coltrane,"Impulse!, BMG",GRP11422,"CD, Comp",6.0,Mint (M),Near Mint (NM or M-),85,
John Coltrane And Johnny Hartman,John Coltrane And Johnny Hartman,"Impulse!, GRP","IMP11572, GRP 11572","CD, Album, RE, RM, 20 ",10.0,Mint (M),Good Plus (G+),85,
Keith Jarrett,Fort Yawuh,Impulse!,547 966-2,"CD, Album, RE, RM",5.0,Mint (M),Very Good Plus (VG+),85,
Keith Jarrett / Charlie Haden,Jasmine,"ECM Records, ECM Records","ECM 2165, 273 3485","CD, Album",9.0,Mint (M),Near Mint (NM or M-),85,
Lightnin' Hopkins,Double Blues,"Carrere, Fantasy",98.579,"CD, Comp, RE",6.0,Mint (M),Near Mint (NM or M-),85,
Lightnin' Hopkins,It's A Sin To Be Rich,"Gitanes Jazz Productions, EmArcy",517 514-2,"CD, Album",8.0,Mint (M),Near Mint (NM or M-),85,
"Ludwig van Beethoven, Alfred Brendel, Wiener Philharmoniker  - Sir Simon Rattle",The 5 Piano Concertos,Philips,462 781-2,3xCD,25.0,Mint (M),Near Mint (NM or M-),255,
Miles Davis,A Tribute To Jack Johnson,"Columbia, Legacy",471003 2,"CD, Album, RE, RM",8.0,Mint (M),Very Good Plus (VG+),85,
Morrissey,Introducing Morrissey,"Warner Music Vision, Reprise Records",7599 38418-3,"VHS, SECAM",20.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Muddy Waters,Hard Again,Blue Sky,484466 2,"CD, Album, RE, RP",8.0,Mint (M),Near Mint (NM or M-),85,
Paolo Conte,Parole D'Amore Scritte A Macchina,CGD,9031-72778-2,"CD, Album",5.0,Mint (M),Mint (M),85,
Pat Metheny Group,Still Life (Talking),Nonesuch,79948-2,"CD, Album",13.0,Mint (M),Near Mint (NM or M-),85,
